zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,website,maxAge,address1,fax,industry,address2,symbol,compensationAsOfEpochDate
12710,Financial Services,219.0,"PT Pacific Strategic Financial Tbk engages in investment and other management consultation activities primarily in Indonesia. The company also provides securities brokerage and underwriting services, as well as other services related to investment and capital markets; and financial management, factoring, and other financing services. In addition, it offers business consulting; and conventional and Sharia life insurance services. The company was formerly known as PT Pan Pacific International and changed its name to PT Pacific Strategic Financial Tbk in November 2010. PT Pacific Strategic Financial Tbk was founded in 1989 and is based in Jakarta Selatan, Indonesia.",Jakarta Selatan,62 21 3950 2900,Indonesia,https://www.apic.co.id,86400,Menara BPJAMSOSTEK (Utara) Lt. 12A,62 21 3950 2901,Insurance—Life,Jl. Jend. Gatot Subroto No. 38,APIC.JK,
10730,Financial Services,416.0,"PT Asuransi Jiwa Sinarmas MSIG Tbk provides life insurance products in Indonesia. It offers multi invest, personal accident, medical, hospital protection, and kid insurance products, as wee as unit link Sharia insurance products. The company also provides bancassurance and group insurance products; and online services. It serves individual and group customers through 65 service and marketing offices. The company was formerly known as PT Asuransi Jiwa Eka Life and changed its name to PT Asuransi Jiwa Sinarmas MSIG in 2007. PT Asuransi Jiwa Sinarmas MSIG Tbk was founded in 1984 and is headquartered in Jakarta Pusat, Indonesia. PT Asuransi Jiwa Sinarmas MSIG Tbk is a subsidiary Mitsui Sumitomo Insurance Co., Ltd.",Jakarta Pusat,62 21 625 7808,Indonesia,https://www.sinarmasmsiglife.co.id,86400,Wisma Eka Jiwa,62 21 625 7837,Insurance—Life,8th - 9th Floor Jl. Mangga Dua Raya Sawah Besar,LIFE.JK,
10350,Consumer Defensive,20803.0,"PT Sinar Mas Agro Resources and Technology Tbk engages in the cultivating and harvesting of oil palm trees in Indonesia. The company also extracts fresh fruit bunches into crude palm oil and palm kernel, and processes into value-added products, such as cooking oil, margarine, shortening, oleo-chemicals, and biodiesel. It offers cooking oil under the Filma, Mitra, and Kunci Mas names; industrial margarines and shortening products under the Palmboom, Menara, and Goodfry names; and specialty fats. In addition, the company provides fatty acids, glycerin, and soap noodles; palm kernel oil and meal; and cocoa butter substitute. Further, it is involved in the cultivation of ornamental plants; provision of transportation and office administration services; and organic chemical, oleo chemical, and bio energy businesses. As of December 31, 2021, it had a total planted area of approximately 105,942 hectares. The company was incorporated in 1962 and is headquartered in Jakarta, Indonesia. PT Sinar Mas Agro Resources and Technology Tbk is a subsidiary of PT Purimas Sasmita.",Jakarta,62 21 5033 8899,Indonesia,https://www.smart-tbk.com,86400,Sinar Mas Land Plaza,62 21 5038 9999,Farm Products,Tower II 28th-30th Floors Jl. MH Thamrin No. 51,SMAR.JK,
12190,Energy,3405.0,"PT Medco Energi Internasional Tbk, an energy and natural resources company, explores for and produces oil and gas. The company operates 11 exploration and production blocks, 1 development block, and 4 exploration blocks in Natuna, Sumatra, Kalimantan, Java, and Sulawesi in Indonesia; and holds oil and gas assets in the Vietnam, Thailand, Oman, Libya, Yemen, Malaysia, Mexico, and Tanzania. It also engages in the power business; copper and gold mining operations in Sumbawa Island, Nusa Tenggara; and operation of compression station with three gas compressors and 10 pipeline facilities in Gunung Megang, South Sumatra. The company was formerly known as PT Medco Energi Corporation and changed its name to PT Medco Energi Internasional Tbk in 2000. The company was founded in 1980 and is headquartered in Jakarta, Indonesia. PT Medco Energi Internasional Tbk is a subsidiary of PT Medco Daya Abadi Lestari.",Jakarta,62 21 2995 3000,Indonesia,https://www.medcoenergi.com,86400,The Energy Building,62 21 2995 3001,Oil & Gas E&P,"53rd Floor SCBD Lot 11A Jl. Jenderal Sudirman, Kav. 52-53",MEDC.JK,
14350,Industrials,1431.0,"PT Adi Sarana Armada Tbk operates as a transportation service company in Indonesia. The company provides rental business services; leasing services without option rights for car, bus, and truck, as well as land transportation not four or more wheeled vehicles; freight transportation of goods such as truck, pick up, and container; and transportation consulting services. It also engages in car trading and car repair business. In addition, the company provides driver services, used vehicle trade through online and offline, parcel delivery services, car sharing, freight forwarding services, and logistics management and warehousing services; and management and consulting services. PT Adi Sarana Armada Tbk was founded in 1999 and is headquartered in North Jakarta, Indonesia.",Jakarta Utara,62 21 6530 8811,Indonesia,https://www.assarent.co.id,86400,Graha Kirana Building,62 21 6530 8822,Rental & Leasing Services,"6th Floor Jalan Yos Sudarso No.88 Kelurahan Sunter Jaya, Kec Tan Priok",ASSA.JK,
12190,Energy,1302.0,"PT Prima Andalan Mandiri Tbk, through its subsidiaries, operates as a coal mining company in Indonesia. It offers sub-bituminous coal. The company develops and operates a coal mining project that covers 9,240 hectares located in Sungai Krassi, Kecamatan Sesayap, and Sembakung of North Kalimanta. It also provides mining contractor and shipping services. The company was founded in 1989 and is headquartered in Jakarta, Indonesia. PT Prima Andalan Mandiri Tbk operates as a subsidiary of Pt Edika Agung Mandiri.",Jakarta,62 21 2933 3189,Indonesia,https://www.mandiricoal.co.id,86400,Gedung Office 8,62 21 2933 3191,Thermal Coal,"Lantai 28,SCBD Lot. 28 Jl. Jend. Sudirman Kav. 52-53 Kebayoran Baru",MCOL.JK,
10270,Basic Materials,306.0,"PT Cita Mineral Investindo Tbk engages in bauxite mining activities in Indonesia. The company was formerly known as PT Cipta Panel Utama Tbk and changed its name to PT Cita Mineral Investindo Tbk in May 2007. PT Cita Mineral Investindo Tbk was founded in 1992 and is headquartered in Jakarta Pusat, Indonesia. PT Cita Mineral Investindo Tbk is a subsidiary of PT Harita Jayaraya Inc.",Jakarta Pusat,62 21 725 1344,Indonesia,https://www.citamineral.com,86400,Panin Bank Building,62 21 7278 9885,Other Industrial Metals & Mining,2nd Floor Jalan Jenderal Sudirman Kav 1 – Senayan,CITA.JK,
12950,Consumer Defensive,11802.0,"PT Triputra Agro Persada Tbk engages in the oil palm plantations and palm oil processing businesses in Indonesia. It produces crude palm oil, palm kernel, slab, and ribbed smoked sheet products. The company is also involved in the rubber plantation; other management consulting; wholesale trading; construction; and mining activities. As of December 31, 2021, it operated approximately 85,086 hectares of total planted area of palm oil plantations. The company was formerly known as PT. Alam Permata Indah and changed its name to PT Triputra Agro Persada Tbk in March 2005. PT Triputra Agro Persada Tbk was founded in 2005 and is headquartered in Jakarta Selatan, Indonesia.",Jakarta Selatan,62 21 5794 4737,Indonesia,https://www.tap-agri.com,86400,The East Building Lantai 23,62 21 5794 4745,Farm Products,"Jl. DR. Ide Anak Agung Gde Agung KAV E.3.2 No 1 Kelurahan Kuningan Timur,Kecamatan Setia",TAPG.JK,
12950,Basic Materials,716.0,"PT Archi Indonesia Tbk, through its subsidiaries, engages in the discovery, exploration, development, and operation of gold and silver mining properties in Indonesia. It holds interest in the Toka Tindung project that covers an area of 39,817 hectares located in North Sulawesi. It provides mining support and mining contractor services, and others, as well as management consulting services, including tax, legal, human resources, and others. The company was incorporated in 2010 and is headquartered in South Jakarta, Indonesia. PT Archi Indonesia Tbk operates as a subsidiary of PT Rajawali Corporation.",South Jakarta,62 21 576 1719,Indonesia,https://www.archiindonesia.com,86400,Menara Rajawali,62 21 576 1720,Gold,Lantai 19 Jl. DR. Ide Anak Agung Gde Agung Lot #5.1 Mega Kuningan,ARCI.JK,
11470,Consumer Defensive,9204.0,"PT FAP Agri Tbk operates as an oil palm plantation company in Indonesia. It produces and sells palm oil. The company was founded in 1994 and is based in West Jakarta, Indonesia.",West Jakarta,62 21 2933 4648,Indonesia,https://www.fap-agri.com,86400,Ruko GSA Central Park B8 ED/EE,,Farm Products,Jl. S Parman RT12/RW 06 Tanjung Duren Grogol Petamburan,FAPA.JK,
